,name,type,latitude_deg,longitude_deg,iso_country,iso_region,municipality,icao_code,iata_code,municipality_iso_country
769,Detroit Metropolitan Wayne County Airport,large_airport,42.212398529052734,-83.35340118408203,US,US-MI,Detroit,KDTW,DTW,"Detroit,US"
770,Willow Run Airport,medium_airport,42.23789978,-83.53040314,US,US-MI,Detroit,KYIP,YIP,"Detroit,US"
771,Dothan Regional Airport,medium_airport,31.3213005065918,-85.44960021972656,US,US-AL,Dothan,KDHN,DHN,"Dothan,US"
772,Dalhart Municipal Airport,medium_airport,36.0225982666,-102.54699707,US,US-TX,Dalhart,KDHT,DHT,"Dalhart,US"
773,Dickinson Theodore Roosevelt Regional Airport,medium_airport,46.7974014282,-102.802001953,US,US-ND,Dickinson,KDIK,DIK,"Dickinson,US"
774,Laughlin Air Force Base,large_airport,29.359501,-100.778002,US,US-TX,Del Rio,KDLF,DLF,"Del Rio,US"
775,Del Rio International Airport,medium_airport,29.3742008209,-100.927001953,US,US-TX,Del Rio,KDRT,DRT,"Del Rio,US"
776,Duluth International Airport,large_airport,46.8420982361,-92.1936035156,US,US-MN,Duluth,KDLH,DLH,"Duluth,US"
777,Davis Monthan Air Force Base,medium_airport,32.1665000916,-110.883003235,US,US-AZ,Tucson,KDMA,DMA,"Tucson,US"
778,Tucson International Airport / Morris Air National Guard Base,large_airport,32.115004,-110.938053,US,US-AZ,Tucson,KTUS,TUS,"Tucson,US"
779,Deming Municipal Airport,medium_airport,32.262298584,-107.721000671,US,US-NM,Deming,KDMN,DMN,"Deming,US"
780,Dover Air Force Base,large_airport,39.12950134,-75.46600342,US,US-DE,Dover,KDOV,DOV,"Dover,US"
781,Beauregard Regional Airport,medium_airport,30.831699,-93.339897,US,US-LA,DeRidder,KDRI,DRI,"DeRidder,US"
782,Des Moines International Airport,medium_airport,41.534,-93.663101,US,US-IA,Des Moines,KDSM,DSM,"Des Moines,US"
783,Pangborn Memorial Airport,medium_airport,47.3988990784,-120.207000732,US,US-WA,Wenatchee,KEAT,EAT,"Wenatchee,US"
784,Chippewa Valley Regional Airport,medium_airport,44.86579895019531,-91.48429870605467,US,US-WI,Eau Claire,KEAU,EAU,"Eau Claire,US"
785,Elizabeth City Regional Airport & Coast Guard Air Station,medium_airport,36.260601,-76.174599,US,US-NC,Elizabeth City,KECG,ECG,"Elizabeth City,US"
786,Edwards Air Force Base,large_airport,34.905399,-117.884003,US,US-CA,Edwards,KEDW,EDW,"Edwards,US"
787,Needles Airport,medium_airport,34.7663002014,-114.623001099,US,US-CA,Needles,KEED,EED,"Needles,US"
788,Dillant Hopkins Airport,medium_airport,42.898399,-72.270798,US,US-NH,Keene,KEEN,EEN,"Keene,US"
789,Eagle County Regional Airport,medium_airport,39.64260101,-106.9179993,US,US-CO,Eagle,KEGE,EGE,"Eagle,US"
790,Murray Field,medium_airport,40.8033981323,-124.112998962,US,US-CA,Eureka,KEKA,EKA,"Eureka,US"
791,Elkins-Randolph Co-Jennings Randolph Field,medium_airport,38.88940048,-79.85710144,US,US-WV,Elkins,KEKN,EKN,"Elkins,US"
792,Elko Regional Airport,medium_airport,40.82490158081055,-115.79199981689452,US,US-NV,Elko,KEKO,EKO,"Elko,US"
793,South Arkansas Regional At Goodwin Field,medium_airport,33.22100067138672,-92.81330108642578,US,US-AR,El Dorado,KELD,ELD,"El Dorado,US"
794,El Paso International Airport,medium_airport,31.80719948,-106.3779984,US,US-TX,El Paso,KELP,ELP,"El Paso,US"
795,Vance Air Force Base,large_airport,36.3391990662,-97.9164962769,US,US-OK,Enid,KEND,END,"Enid,US"
796,Kenosha Regional Airport,medium_airport,42.59569931,-87.92780304,US,US-WI,Kenosha,KENW,ENW,"Kenosha,US"
797,Erie International Tom Ridge Field,large_airport,42.0831270134,-80.1738667488,US,US-PA,Erie,KERI,ERI,"Erie,US"
798,Mahlon Sweet Field,medium_airport,44.12459945678711,-123.21199798583984,US,US-OR,Eugene,KEUG,EUG,"Eugene,US"
799,Evansville Regional Airport,medium_airport,38.0369987488,-87.5324020386,US,US-IN,Evansville,KEVV,EVV,"Evansville,US"
800,Evanston-Uinta County Airport-Burns Field,medium_airport,41.27479935,-111.0350037,US,US-WY,Evanston,KEVW,EVW,"Evanston,US"
801,New Bedford Regional Airport,medium_airport,41.67610168457031,-70.95690155029297,US,US-MA,New Bedford,KEWB,EWB,"New Bedford,US"
802,Coastal Carolina Regional Airport,medium_airport,35.0730018616,-77.04290008539999,US,US-NC,New Bern,KEWN,EWN,"New Bern,US"
803,Newark Liberty International Airport,large_airport,40.692501,-74.168701,US,US-NJ,New York,KEWR,EWR,"New York,US"
804,John F Kennedy International Airport,large_airport,40.639801,-73.7789,US,US-NY,New York,KJFK,JFK,"New York,US"
805,La Guardia Airport,large_airport,40.777199,-73.872597,US,US-NY,New York,KLGA,LGA,"New York,US"
806,Key West International Airport,medium_airport,24.556101,-81.759598,US,US-FL,Key West,KEYW,EYW,"Key West,US"
807,Naval Air Station Key West/Boca Chica Field,medium_airport,24.57579994,-81.68890381,US,US-FL,Key West,KNQX,NQX,"Key West,US"
808,Hector International Airport,medium_airport,46.92070007324219,-96.81580352783205,US,US-ND,Fargo,KFAR,FAR,"Fargo,US"
809,Fresno Yosemite International Airport,medium_airport,36.776199,-119.718002,US,US-CA,Fresno,KFAT,FAT,"Fresno,US"
810,Fayetteville Regional Airport - Grannis Field,medium_airport,34.991199,-78.880302,US,US-NC,Fayetteville,KFAY,FAY,"Fayetteville,US"
811,Drake Field,medium_airport,36.00510025024414,-94.17009735107422,US,US-AR,Fayetteville,KFYV,FYV,"Fayetteville,US"
812,Pope Field,medium_airport,35.1708984375,-79.014503479004,US,US-NC,Fayetteville,KPOB,POB,"Fayetteville,US"
813,Simmons Army Air Field,medium_airport,35.13180161,-78.93669891,US,US-NC,Fort Bragg,KFBG,FBG,"Fort Bragg,US"
814,Butts AAF (Fort Carson) Air Field,medium_airport,38.67839813,-104.7570038,US,US-CO,Fort Carson,KFCS,FCS,"Fort Carson,US"
815,Findlay Airport,medium_airport,41.0135002136,-83.66870117190001,US,US-OH,Findlay,KFDY,FDY,"Findlay,US"
816,Venango Regional Airport,medium_airport,41.3778991699,-79.8603973389,US,US-PA,Franklin,KFKL,FKL,"Franklin,US"
817,Flagstaff Pulliam International Airport,large_airport,35.1385,-111.670998,US,US-AZ,Flagstaff,KFLG,FLG,"Flagstaff,US"
818,Fort Lauderdale Hollywood International Airport,large_airport,26.072599,-80.152702,US,US-FL,Fort Lauderdale,KFLL,FLL,"Fort Lauderdale,US"
819,Fort Lauderdale Executive Airport,medium_airport,26.1972999573,-80.1707000732,US,US-FL,Fort Lauderdale,KFXE,FXE,"Fort Lauderdale,US"
820,Florence Regional Airport,medium_airport,34.18539810180664,-79.7238998413086,US,US-SC,Florence,KFLO,FLO,"Florence,US"
821,Four Corners Regional Airport,medium_airport,36.741199,-108.230003,US,US-NM,Farmington,KFMN,FMN,"Farmington,US"
